"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_MCF7","L04","Aphidicolin 0.16 uM",7.4897959183673466,13.693877551020408,16.0,218.0,78.0,86.0,21.0,419.0,3.8186157517899764,52.028639618138428,18.615751789976134,20.525059665871119,5.0119331742243434
"Nuclei_MCF7","L05","Aphidicolin 0.16 uM",7.4897959183673466,14.469387755102041,6.0,234.0,131.0,143.0,21.0,535.0,1.1214953271028036,43.738317757009348,24.485981308411215,26.728971962616821,3.9252336448598131
"Nuclei_MCF7","L06","Aphidicolin 0.16 uM",7.4897959183673466,13.306122448979592,5.0,243.0,140.0,173.0,38.0,599.0,0.8347245409015025,40.567612687813018,23.372287145242073,28.881469115191987,6.3439065108514185
"Nuclei_MCF7","L07","Aphidicolin 0.5 uM",7.4897959183673466,19.510204081632651,10.0,160.0,134.0,8.0,0.0,312.0,3.2051282051282048,51.282051282051277,42.948717948717949,2.5641025641025639,0.0
"Nuclei_MCF7","L08","Aphidicolin 0.5 uM",7.4897959183673466,10.979591836734693,11.0,60.0,54.0,68.0,85.0,278.0,3.9568345323741005,21.582733812949641,19.424460431654676,24.46043165467626,30.575539568345324
"Nuclei_MCF7","L09","Aphidicolin 0.5 uM",7.4897959183673466,13.306122448979592,5.0,101.0,92.0,101.0,14.0,313.0,1.5974440894568689,32.26837060702875,29.39297124600639,32.26837060702875,4.4728434504792327
"Nuclei_MCF7","L10","Aphidicolin 1.5 uM",7.4897959183673466,14.081632653061224,1.0,90.0,106.0,32.0,5.0,234.0,0.42735042735042739,38.461538461538467,45.299145299145302,13.675213675213676,2.1367521367521367
"Nuclei_MCF7","L11","Aphidicolin 1.5 uM",7.4897959183673466,14.081632653061224,3.0,103.0,134.0,33.0,7.0,280.0,1.0714285714285714,36.785714285714292,47.857142857142861,11.785714285714285,2.5
"Nuclei_MCF7","L12","Aphidicolin 1.5 uM",7.4897959183673466,14.081632653061224,14.0,44.0,79.0,29.0,6.0,172.0,8.1395348837209305,25.581395348837212,45.930232558139537,16.86046511627907,3.4883720930232558
"Nuclei_MCF7","M01","NaCl-CisPt",7.4897959183673466,14.081632653061224,2.0,228.0,44.0,52.0,11.0,337.0,0.59347181008902083,67.655786350148375,13.056379821958458,15.43026706231454,3.2640949554896146
"Nuclei_MCF7","M02","NaCl-CisPt",7.4897959183673466,13.306122448979592,8.0,117.0,44.0,60.0,12.0,241.0,3.3195020746887969,48.54771784232365,18.257261410788381,24.896265560165975,4.9792531120331951
